scene,frame_index,n_models,signal_var,signal_std,signal_endpoint_var,loss_mean,loss_ensmean,fail_top05,fail_top10,fail_top15,fail_top20,within_scene_pct,fail_within_scene
scene-0080,9,13,0.21298418964286137,0.46150210145010323,0.6963487243285379,0.37535283617491894,0.36902147655705514,0,0,0,0,0.0,0
scene-0080,10,13,0.5665610256683618,0.7527024815080403,1.8502537578429712,0.5647579134337348,0.5445143742846543,0,0,0,0,0.20833333333333334,0
scene-0080,11,13,0.2628948373144438,0.5127327152761405,0.849953522637844,0.6910258127173668,0.6716137129205485,0,0,0,0,0.3333333333333333,0
scene-0080,12,13,0.5680919576340381,0.7537187523433645,1.8623512825601862,0.7707364025254116,0.7499468397920804,0,0,0,0,0.5,0
scene-0080,13,13,1.7678360250598757,1.3295999492553674,5.490199692139205,0.750891752144175,0.29465224383484795,0,0,0,0,0.4583333333333333,0
scene-0080,14,13,0.11944928180034127,0.3456143541584193,0.33676935203397534,0.4793094798104758,0.4052330149612569,0,0,0,0,0.08333333333333333,0
scene-0080,15,13,0.2574134603300976,0.507359301018615,0.7611295270646761,0.7073863520857512,0.6859011354797652,0,0,0,0,0.4166666666666667,0
scene-0080,16,13,0.024337758348971433,0.1560056356320868,0.07139063164409494,1.0772022751271055,1.0728643004429694,0,0,0,0,0.625,0
scene-0080,17,13,0.003416614529267014,0.058451813738044214,0.00962935104517665,1.5621278733917348,1.5618543423856837,0,0,0,0,0.75,0
scene-0080,18,13,0.44151567961237914,0.6644664623684021,1.3082781026569434,1.6713621017382652,1.6702379547787605,0,0,0,0,0.7916666666666666,0
scene-0080,19,13,4.813014031058517,2.193858252271217,14.791547998929433,1.8455246740492974,1.170318245578542,0,0,0,0,0.875,1
scene-0080,20,13,4.806062594223089,2.1922733849187446,13.923711742356762,2.1072754641817046,1.5570665891366895,0,0,0,1,1.0,1
scene-0080,21,13,2.0241499000584713,1.4227262210483334,5.329852268088605,1.785266370521941,1.7510873424006606,0,0,0,0,0.8333333333333334,1
scene-0080,22,13,3.580273145369271,1.892160972372401,10.127509864632376,2.020314935434548,1.7017752641716992,0,0,0,0,0.9166666666666666,1
scene-0080,23,13,2.1115211679831853,1.4531074179093524,5.51539550617702,1.3376691638353018,1.1475549653228212,0,0,0,0,0.7083333333333334,0
scene-0080,24,13,4.653633361655601,2.15722816634115,12.905158524378836,2.0228459073610945,1.604220836760833,0,0,0,0,0.9583333333333334,1
scene-0081,0,13,16.672090886202138,4.083147179101206,50.678254632880524,1.9317272448577765,1.7404807983534434,0,0,0,0,0.4,0
scene-0081,1,13,0.6183431952662722,0.7863480115484951,2.0636094674556213,0.43156261337069357,0.17568672240002056,0,0,0,0,0.0,0
scene-0081,2,13,14.45075197238659,3.801414469955439,43.082840236686394,1.9016711219323066,1.0247091394756411,0,0,0,0,0.36,0
scene-0081,3,13,5.941321499013807,2.4374826151203224,19.02015532544379,1.7112594130576062,0.23666542116454767,0,0,0,0,0.2,0
scene-0081,4,13,14.96856755424063,3.8689233068439894,50.29178994082841,2.504792294528122,0.15190202164968822,0,0,1,1,0.64,0
scene-0081,5,13,4.753479475345167,2.1802475720305634,16.234196307692304,1.7047858474989552,0.9811979971523274,0,0,0,0,0.16,0
scene-0081,6,13,7.554199640202192,2.7484904293452055,24.013564905360514,2.0455411787483246,0.8411915380849123,0,0,0,0,0.48,0
scene-0081,7,13,5.332311389551905,2.309179808839473,15.559807321353851,2.2243086788298254,1.8909646310375845,0,0,0,1,0.56,0
scene-0081,8,13,4.532006356366668,2.12885094742837,12.973495060887046,1.7713579420216712,1.4866978520433058,0,0,0,0,0.28,0
scene-0081,9,13,6.769643384433691,2.601853836101039,18.039259212496695,2.699015805242396,2.6789846540707125,0,1,1,1,0.88,1
scene-0081,10,13,7.02155693649205,2.6498220575148155,19.303998903541032,2.687169260884071,2.641334861093804,0,1,1,1,0.84,1
scene-0081,11,13,12.018373537033744,3.4667525924175413,36.22254940124442,2.843690517530931,1.9083562395920248,0,1,1,1,0.96,1
scene-0081,12,13,3.2588260854047313,1.8052218936753264,9.35171214064751,1.6382376603529176,1.3150175925698953,0,0,0,0,0.08,0
scene-0081,13,13,1.4198575280253636,1.191577747369161,4.088400904442747,1.7670826203850238,1.7576984614852107,0,0,0,0,0.24,0
scene-0081,14,13,2.3148639149045245,1.5214676844759223,6.686253483189993,1.778929066973326,1.6717719360974017,0,0,0,0,0.32,0
scene-0081,15,13,2.8690585269255497,1.693829544826028,8.617250947114055,2.036567254598156,1.9596846799543688,0,0,0,0,0.44,0
scene-0081,16,13,2.144763046535079,1.4645009547743828,6.575586328798004,1.2373036831544466,0.7591427764053879,0,0,0,0,0.04,0
scene-0081,17,13,1.0612243071946044,1.0301574186475602,2.864433018221086,1.6438245304942425,1.6416806058445677,0,0,0,0,0.12,0
scene-0081,18,13,3.080398773175542,1.7551064848537088,9.716145621301775,2.1505478403964164,2.050283849031613,0,0,0,1,0.52,0
scene-0081,19,13,4.9948586675721165,2.234918044934113,16.170459451400767,2.5448549774716485,2.5202702661450145,0,0,1,1,0.72,0
scene-0081,20,13,5.4013990097173945,2.324091007193435,17.177247979908056,3.095735214895367,3.0948303837846063,1,1,1,1,1.0,1
scene-0081,21,13,5.6682811852229555,2.380815235423143,18.871778896166788,2.8411426712888934,2.835029742569397,0,1,1,1,0.92,1
scene-0081,22,13,6.142697461188601,2.478446582274591,19.506031972873224,2.6719114978386926,2.4374090032091,0,1,1,1,0.8,1
scene-0081,23,13,10.093916275863286,3.177092424822307,30.860550460726543,2.5176728158397745,2.443451614306492,0,0,1,1,0.68,0
scene-0081,24,13,8.38837585352666,2.896269299206595,26.067899284479935,2.3938416811081384,2.095671827102066,0,0,1,1,0.6,0
scene-0081,25,13,9.568165784040248,3.0932451865379584,30.73764609812259,2.6442016645572597,2.605677413850684,0,1,1,1,0.76,0
scene-0082,0,13,0.3319767642490686,0.5761742481654908,1.141239168439341,0.7112072154487735,0.5333868659907723,0,0,0,0,0.6666666666666666,0
scene-0082,1,13,0.2817876394956058,0.5308367352544526,0.8198616669019453,1.692973517024784,1.6765021550027714,0,0,0,0,1.0,1
scene-0082,2,13,0.2781090793242336,0.5273604832789746,0.8326514548711719,0.6941077855058336,0.6506493009785153,0,0,0,0,0.625,0
scene-0082,3,13,0.34126314368455857,0.5841773221245058,0.9694512257769958,0.5492286644563603,0.449214594665509,0,0,0,0,0.3333333333333333,0
scene-0082,4,13,0.2776662295491827,0.5269404421271751,0.7814463153137244,0.4965029193149912,0.35611825242633577,0,0,0,0,0.16666666666666666,0
scene-0082,5,13,0.14652858323763152,0.38279052135290853,0.37571350111191215,0.6611334163134036,0.6370939058029312,0,0,0,0,0.5833333333333334,0
scene-0082,6,13,0.5200576764803101,0.7211502454276155,1.6819364877661445,0.5320750800209533,0.19669995600151088,0,0,0,0,0.20833333333333334,0
scene-0082,7,13,0.4195157258105846,0.6477003364292662,1.3464807160797376,0.3925802392141002,0.16779056662763014,0,0,0,0,0.041666666666666664,0
scene-0082,8,13,0.21855859412249914,0.4675025070761644,0.7102150177077474,0.34123782080661624,0.23911528794042566,0,0,0,0,0.0,0
scene-0082,9,13,0.31833379591965333,0.5642107726015636,1.0526805154520975,0.4414560659934658,0.2635613219729886,0,0,0,0,0.08333333333333333,0
scene-0082,10,13,0.16348113080985818,0.4043279990426809,0.5153106081180533,0.5417006917615617,0.4593582542485901,0,0,0,0,0.2916666666666667,0
scene-0082,11,13,0.6656946444076545,0.8159011241612886,2.1312391730982805,0.632888624144457,0.4037637154827016,0,0,0,0,0.5416666666666666,0
scene-0082,12,13,1.5908167266484199,1.2612758328963654,4.199372943699283,0.9919292001694034,0.5000027106685265,0,0,0,0,0.7916666666666666,0
scene-0082,13,13,0.1530285169991484,0.39118859518031507,0.49034746964981424,1.0229474662878775,0.9735070486727205,0,0,0,0,0.8333333333333334,1
scene-0082,14,13,1.1980641096928186,1.0945611493620713,3.8142370188747066,0.8166217872845224,0.692439999165117,0,0,0,0,0.75,0
scene-0082,15,13,0.7045427848332316,0.8393704693597647,2.183802185290109,0.5406574729746433,0.29542214889010077,0,0,0,0,0.25,0
scene-0082,16,13,0.28227314516834884,0.5312938407024392,0.885376255737888,0.4789974874057675,0.2933256005301552,0,0,0,0,0.125,0
scene-0082,17,13,0.9519214838136815,0.9756646369596889,3.1296940936009525,0.7481999176922339,0.3237512039810345,0,0,0,0,0.7083333333333334,0
scene-0082,18,13,2.3483470220524034,1.5324317348751308,7.661594685244113,1.024206404259366,0.43994435037010593,0,0,0,0,0.875,1
scene-0082,19,13,7.692111930515828,2.773465689442692,24.35608336945065,1.5499150039264598,0.4736477434349058,0,0,0,0,0.9583333333333334,1
scene-0082,20,13,0.8468560680425067,0.9202478296863876,2.6221965544784216,0.6163219736357597,0.2532945749331503,0,0,0,0,0.4583333333333333,0
